#,Name,Release,Peak Users,Positive,Negative,Total,Rating
1,People Playground,7/23/2019,15026,202513,2575,205088,0.9752
2,Slay the Spire,1/23/2019,33086,133546,2883,136429,0.9652
3,A Short Hike,7/30/2019,229,14103,103,14206,0.965
4,Katana ZERO,4/18/2019,1575,58379,1112,59491,0.9637
5,Resident Evil 2,1/25/2019,74227,135121,3908,139029,0.9585
6,Grimm's Hollow,10/30/2019,221,11403,155,11558,0.9575
7,Baba Is You,3/13/2019,1533,17924,368,18292,0.9549
8,Phoenix Wright: Ace Attorney Trilogy,4/9/2019,3611,20895,520,21415,0.9521
9,Oxygen Not Included,7/30/2019,27486,100340,3499,103839,0.9519
10,Tales of the Black Forest,9/26/2019,237,10244,204,10448,0.9508
11,Kind Words,9/12/2019,362,8187,144,8331,0.9508
12,Touhou Luna Nights,2/26/2019,1368,12142,279,12421,0.9496
13,Gravitas,8/24/2019,209,6025,120,6145,0.9457
14,Unheard,3/29/2019,7754,26907,981,27888,0.9435
15,Devil May Cry 5,3/8/2019,88894,103466,4700,108166,0.9426
16,Aokana - Four Rhythms Across the Blue,9/27/2019,484,4206,80,4286,0.9425
17,Sekiro™: Shadows Die Twice,3/22/2019,125315,231339,11406,242745,0.9422
18,Beat Saber,5/21/2019,4472,66608,2964,69572,0.9415
19,Zup! F,12/11/2019,769,7785,224,8009,0.9405
20,WolfQuest: Anniversary Edition,7/26/2019,2253,6185,166,6351,0.9399
21,Kindergarten 2,7/30/2019,1060,3549,71,3620,0.9396
22,Streets of Rogue,7/12/2019,4320,18063,706,18769,0.9385
23,Sayonara Wild Hearts,12/12/2019,180,7147,215,7362,0.9385
24,Bug Fables: The Everlasting Sapling,11/21/2019,325,4200,104,4304,0.9375
25,My Friend Pedro,6/20/2019,7117,24958,1093,26051,0.9366
26,FIVE NIGHTS AT FREDDY'S: HELP WANTED,5/28/2019,785,9970,366,10336,0.9358
27,missed messages.,5/30/2019,184,13563,546,14109,0.9353
28,异化之恶〇Abnormal Treatment,8/2/2019,501,2956,67,3023,0.935
29,Age of Empires II: Definitive Edition,11/14/2019,38725,121588,6702,128290,0.9348
30,Tsukikage no Simulacre: Kaihou no Hane,7/26/2019,163,2720,61,2781,0.9341
31,Mindustry,9/26/2019,3012,14598,620,15218,0.934
32,Hypnospace Outlaw,3/12/2019,307,3506,93,3599,0.9339
33,Master Of Pottery,11/11/2019,782,2567,57,2624,0.9336
34,NGU IDLE,10/1/2019,8032,9786,384,10170,0.9335
35,Tails Noir: Prologue,4/24/2019,565,3993,115,4108,0.9334
36,Nova Drift,3/27/2019,1309,9677,383,10060,0.9331
37,Monster Girl Island: Prologue,6/19/2019,1538,16010,716,16726,0.9327
38,Muse Dash,6/20/2019,11478,87539,4909,92448,0.9326
39,Fluffy Store,8/15/2019,397,3026,87,3113,0.9301
40,We Become What We Behold,7/9/2019,443,3474,108,3582,0.9299
41,TouHou Makuka Sai ~ Fantastic Danmaku Festival Part II,3/18/2019,656,2063,49,2112,0.9292
42,Don't Escape: 4 Days to Survive,3/11/2019,150,1747,37,1784,0.9289
43,Dream Ending,7/23/2019,62,2560,71,2631,0.9288
44,Neon Beats,5/3/2019,210,5893,236,6129,0.9281
45,One Finger Death Punch 2,4/15/2019,1027,3982,141,4123,0.9278
46,Acting Lessons,7/25/2019,263,4659,176,4835,0.9275
47,Yakuza Kiwami 2,5/9/2019,3229,12169,590,12759,0.9274
48,像素男友,12/24/2019,250,964,11,975,0.9272
49,AVICII Invector,12/10/2019,146,2885,92,2977,0.9269
50,9-nine-:Episode 2,8/16/2019,59,1049,15,1064,0.9263
51,Bloodstained: Ritual of the Night,6/18/2019,26934,32915,1909,34824,0.9261
52,SpaceEngine,6/11/2019,596,8146,376,8522,0.926
53,Supraland,4/5/2019,1403,10346,506,10852,0.9257
54,The Coin Game,2/22/2019,232,4402,173,4575,0.9256
55,Pikuniku,1/24/2019,2123,7058,319,7377,0.9255
56,"STAR WARS™ Battlefront (Classic, 2004)",5/2/2019,548,3500,128,3628,0.9253
57,异常 | Exception,7/4/2019,317,1629,40,1669,0.925
58,Blood: Fresh Supply,5/9/2019,592,5652,246,5898,0.9247
59,ISLANDERS,4/4/2019,1783,14222,756,14978,0.9246
60,Cat Quest II,9/24/2019,610,4126,165,4291,0.9243
61,Pilgrims,10/7/2019,124,3179,118,3297,0.9237
62,東方紺珠伝 ～ Legacy of Lunatic Kingdom.,4/2/2019,47,1059,19,1078,0.9234
63,A Dance of Fire and Ice,1/25/2019,9330,52913,3399,56312,0.9233
64,Smile For Me,5/31/2019,102,2211,71,2282,0.9232
65,PC Building Simulator,1/29/2019,3884,45297,2942,48239,0.9219
66,RED HOT VENGEANCE,7/11/2019,245,2812,106,2918,0.9217
67,Spyro™ Reignited Trilogy,9/3/2019,4198,16651,968,17619,0.9216
68,Agent A: A puzzle in disguise,8/29/2019,319,4063,178,4241,0.921
69,Later Alligator,9/18/2019,255,1999,67,2066,0.9206
70,Disco Elysium,10/15/2019,8081,74959,5260,80219,0.9199
71,A Plague Tale: Innocence,5/13/2019,4058,50741,3509,54250,0.919
72,Yuppie Psycho,4/25/2019,339,6106,313,6419,0.919
73,Reventure,6/4/2019,1309,7753,420,8173,0.9188
74,No Time,4/15/2019,92,1253,35,1288,0.9181
75,I wanna be the Creator,11/15/2019,520,2374,94,2468,0.9179
76,BirdGut,5/9/2019,255,4015,191,4206,0.9177
77,The Thrill of the Fight,10/24/2019,69,3375,153,3528,0.9176
78,EARTH DEFENSE FORCE 5,7/11/2019,8416,8045,453,8498,0.9174
79,Descenders,5/7/2019,1954,13958,863,14821,0.9172
80,Otaku's Adventure,5/20/2019,2792,6763,371,7134,0.917
81,沉睡的法则 Things as They Are,6/18/2019,261,981,24,1005,0.9167
82,東方鬼形獣 〜 Wily Beast and Weakest Creature.,9/9/2019,387,928,22,950,0.9163
83,Tiny Snow,2/28/2019,87,3455,165,3620,0.9159
84,Tangle Tower,10/22/2019,345,3360,159,3519,0.9159
85,Derail Valley,1/25/2019,2638,4045,202,4247,0.9158
86,AMID EVIL,6/20/2019,357,5688,311,5999,0.9155
87,What Never Was,1/11/2019,181,4425,228,4653,0.9155
88,Mushroom Cats,6/10/2019,115,1425,48,1473,0.9154
89,MX Bikes,10/7/2019,2670,13318,853,14171,0.9151
90,祈風 Inorikaze,2/13/2019,50,361,0,361,0.9151
91,Halo: The Master Chief Collection,12/3/2019,161024,195717,15763,211480,0.9149
92,The Good Time Garden,12/19/2019,73,2149,91,2240,0.9143
93,Necesse,12/12/2019,3894,7590,455,8045,0.9139
94,Project Arrhythmia,6/14/2019,110,1864,76,1940,0.9136
95,Enderal: Forgotten Stories,2/14/2019,5983,10792,690,11482,0.9135
96,旅燕归航 Swallow Homing,2/13/2019,16,615,11,626,0.913
97,GORN,7/18/2019,479,7434,456,7890,0.9125
98,60 Seconds! Reatomized,7/25/2019,1251,10994,721,11715,0.9123
99,STEINS;GATE: My Darling's Embrace,12/10/2019,57,934,27,961,0.9122
100,FrostRunner,1/1/2019,360,3082,157,3239,0.9119
101,The Jackbox Party Pack 6,10/17/2019,6630,2493,120,2613,0.9116
102,Gato Roboto,5/30/2019,915,3398,180,3578,0.9114
103,There is No GreenDam,11/11/2019,41,1595,65,1660,0.9114
104,Hentai Girl Karen,4/12/2019,525,4139,234,4373,0.9107
105,人间 The Lost We Lost,4/30/2019,233,2219,106,2325,0.9104
106,Yakuza Kiwami,2/19/2019,3474,15441,1102,16543,0.9101
107,The Political Process,11/22/2019,310,1458,60,1518,0.9097
108,Perspective,10/10/2019,46,539,10,549,0.9097
109,Hello Neighbor Alpha 2,10/15/2019,103,2422,125,2547,0.9084
110,Touhou Fantasia,7/20/2019,103,1374,58,1432,0.908
111,Fantasy Girl,6/20/2019,204,4552,280,4832,0.9077
112,Hentai Girl Fantasy,10/29/2019,269,3777,223,4000,0.9077
113,沙雕之路,9/26/2019,52,924,32,956,0.9074
114,Kao the Kangaroo: Round 2,5/31/2019,3667,7104,479,7583,0.9072
115,Zup! 9,6/24/2019,390,1452,65,1517,0.9068
116,ASTRONEER,2/6/2019,17986,101133,8961,110094,0.9059
117,Don't Escape Trilogy,7/29/2019,15,282,1,283,0.9058
118,Ultra Fight Da Kyanta 2,5/8/2019,46,888,32,920,0.9056
119,My Time At Portia,1/15/2019,13299,37536,3140,40676,0.9055
120,Symbiotic Love,3/21/2019,95,1268,56,1324,0.9051
121,The Expression Amrilato,6/21/2019,91,591,16,607,0.9049
122,DATE A LIVE: Rio Reincarnation,7/23/2019,890,2759,161,2920,0.9046
123,APE OUT,2/28/2019,128,2679,155,2834,0.9046
124,I'm on Observation Duty,4/3/2019,163,1386,65,1451,0.9043
125,Spring Falls,11/17/2019,65,672,21,693,0.9042
126,BONEWORKS,12/10/2019,8717,31265,2644,33909,0.9038
127,STEINS;GATE: Linear Bounded Phenogram,2/19/2019,454,594,17,611,0.9038
128,LOVE³ -Love Cube-,7/25/2019,380,2280,130,2410,0.9033
129,Voxelgram,11/7/2019,75,413,8,421,0.903
130,Shotgun Farmers,3/8/2019,486,8968,677,9645,0.9027
131,Splitgate,5/24/2019,67724,100602,9323,109925,0.9026
132,DARQ,8/15/2019,154,3352,214,3566,0.9025
133,Hot Lava,9/19/2019,1030,4876,336,5212,0.9024
134,Frog Detective 2: The Case of the Invisible Wizard,12/9/2019,55,1380,68,1448,0.9024
135,Baldr Sky,12/20/2019,189,1094,49,1143,0.9023
136,東方輝針城 〜 Double Dealing Character,6/19/2019,21,297,3,300,0.9021
137,Shipped,3/28/2019,66,567,17,584,0.9017
138,Mutazione,9/19/2019,49,861,35,896,0.9014
139,Pizza Game,9/6/2019,110,289,3,292,0.9011
140,Trailmakers,9/18/2019,4116,16126,1338,17464,0.901
141,逝去的回忆3：四叶草之梦,8/16/2019,27,574,18,592,0.9009
142,Aircar,8/9/2019,98,1939,112,2051,0.9006
143,The World is Your Weapon,6/28/2019,81,549,17,566,0.9003
144,Fear & Hunger,1/21/2019,930,4296,303,4599,0.8998
145,Zueirama,8/6/2019,60,1030,48,1078,0.8998
146,Assetto Corsa Competizione,5/29/2019,9416,25159,2222,27381,0.8995
147,Swords & Souls: Neverseen,7/22/2019,2137,3721,262,3983,0.8984
148,Unsung Warriors - Prologue,1/15/2019,113,1310,70,1380,0.8983
149,Pistol Whip,11/7/2019,213,3339,232,3571,0.898
150,Terminator: Resistance,11/14/2019,1392,11048,923,11971,0.8979
151,Heart of the Woods,2/15/2019,67,711,29,740,0.8978
152,Clea,7/10/2019,40,361,8,369,0.8977
153,Red Dead Redemption 2,12/5/2019,70914,401935,41994,443929,0.8973
154,Fate/EXTELLA LINK,3/19/2019,3118,3771,272,4043,0.8972
155,Deep Sleep Trilogy,10/25/2019,8,315,6,321,0.8967
156,Escape Lala,2/14/2019,16,296,5,301,0.8967
157,Super Jigsaw Puzzle: Generations,4/4/2019,233,782,35,817,0.8965
158,The Lar,6/10/2019,82,902,44,946,0.8959
159,Explore Fushimi Inari,10/11/2019,80,1333,76,1409,0.8958
160,Minion Masters,5/24/2019,10329,55724,5488,61212,0.8955
161,When the Darkness comes,3/1/2019,684,7408,611,8019,0.8955
162,Winds of Change,8/21/2019,61,493,17,510,0.8953
163,"I Love You, Colonel Sanders! A Finger Lickin’ Good Dating Simulator",9/24/2019,4372,11058,963,12021,0.8951
164,雨的恋记,4/19/2019,26,567,22,589,0.8949
165,Seen,6/21/2019,1433,8152,689,8841,0.8947
166,The Long Drive,9/25/2019,3151,22873,2155,25028,0.8943
167,ALIA’s CARNIVAL！,11/15/2019,94,514,19,533,0.8942
168,I Walk Among Zombies Vol. 2 (Adult Version),8/12/2019,35,218,2,220,0.8942
169,CHAOS;CHILD,1/23/2019,137,2204,150,2354,0.8941
170,9-nine-:Episode 1,2/1/2019,64,1059,58,1117,0.8939
171,Pathologic 2,5/23/2019,1422,7841,677,8518,0.8929
172,Planet Zoo,11/5/2019,38630,64804,6658,71462,0.8928
173,The Last Sovereign,2/15/2019,72,467,17,484,0.8926
174,MageQuit,10/10/2019,222,1008,56,1064,0.8925
175,绮罗四时谭,11/6/2019,17,387,12,399,0.8925
176,Onimusha: Warlords,1/15/2019,526,1909,130,2039,0.8922
177,Coloring Game,4/12/2019,593,3440,266,3706,0.8921
178,ChronoBreach,4/29/2019,28,261,5,266,0.8917
179,Trap Shrine,3/29/2019,184,1441,92,1533,0.8916
180,Tailor Tales,1/10/2019,238,685,33,718,0.8914
181,コイカツ / Koikatsu Party,6/10/2019,398,5041,421,5462,0.8912
182,Hotel Sowls,12/31/2019,84,495,20,515,0.8908
183,The Song of Saya,8/13/2019,429,4062,332,4394,0.8905
184,Whispers of a Machine,4/17/2019,118,1502,100,1602,0.8901
185,Rock Simulator,11/27/2019,125,1094,66,1160,0.8901
186,Shepherd of Light,9/4/2019,55,710,36,746,0.8901
187,EverStopped,9/27/2019,47,396,14,410,0.8898
188,DRAGON QUEST BUILDERS™ 2,12/10/2019,3358,5577,485,6062,0.8895
189,Golden Treasure: The Great Green,6/17/2019,53,454,18,472,0.8895
190,Higurashi When They Cry Hou - Ch.7 Minagoroshi,7/18/2019,49,363,12,375,0.8895
191,Timeflow,1/19/2019,646,1334,87,1421,0.8894
192,Shovel Knight: Shovel of Hope,12/10/2019,52,673,34,707,0.8892
193,Workers & Resources: Soviet Republic,3/15/2019,3891,12519,1200,13719,0.8891
194,I hate this game,3/7/2019,84,1616,112,1728,0.8891
195,Wilmot's Warehouse,8/29/2019,60,360,12,372,0.8891
196,Mr. Hopp's Playhouse,11/15/2019,88,1232,80,1312,0.8885
197,Eve of Souls: Static Pod,6/5/2019,46,445,18,463,0.8885
198,Tree Simulator 2020,3/26/2019,15,459,19,478,0.8884
199,AI: The Somnium Files,9/18/2019,998,6210,558,6768,0.8882
200,NekoMiko,1/25/2019,33,398,15,413,0.8881
201,while True: learn(),1/17/2019,844,5950,533,6483,0.888
202,MO:Astray,10/25/2019,492,4213,360,4573,0.888
203,SENRAN KAGURA Burst Re:Newal,1/22/2019,334,1757,127,1884,0.8879
204,TheoTown,6/5/2019,121,1645,117,1762,0.8879
205,Fishy,9/20/2019,27,1257,83,1340,0.8879
206,Coloring Game: Little City,8/16/2019,289,919,55,974,0.8877
207,Digimon Story Cyber Sleuth: Complete Edition,10/17/2019,2404,7633,714,8347,0.8871
208,Snakeybus,5/10/2019,519,1934,145,2079,0.8871
209,Forager,4/18/2019,13438,32361,3428,35789,0.887
210,Drift86,11/19/2019,628,5036,448,5484,0.887
211,Tracks - The Train Set Game,11/14/2019,104,1130,75,1205,0.886
212,Open World Game: the Open World Game,11/19/2019,133,2147,169,2316,0.8856
213,Swords and Sandals Classic Collection,4/19/2019,179,1792,136,1928,0.8854
214,Sakura no Mori † Dreamers 2,3/15/2019,65,392,16,408,0.8854
215,Granny: Chapter Two,12/30/2019,42,642,35,677,0.8853
216,Arcade Spirits,2/12/2019,136,459,21,480,0.8852
217,Lords Of The Lockerroom,5/17/2019,10,288,9,297,0.8852
218,A Fisherman's Tale,1/22/2019,47,1100,74,1174,0.8849
219,Barrage Musical ~ Basic Danmaku Tutorial ~ / 弹幕音乐绘 ~ 基础教学篇 ~,12/14/2019,13,170,2,172,0.8849
220,某1种青春,2/18/2019,65,345,13,358,0.8848
221,Blasphemous,9/10/2019,3247,30662,3328,33990,0.8847
222,Glass Masquerade 2: Illusions,2/28/2019,932,2466,203,2669,0.8845
223,Mutilate-a-Doll 2,3/1/2019,108,1491,110,1601,0.8845
224,Lovers of Aether,4/1/2019,651,1388,101,1489,0.8843
225,pact with a witch,6/25/2019,207,1450,107,1557,0.8841
226,Little Misfortune,9/18/2019,750,7793,762,8555,0.884
227,Vectronom,5/29/2019,25,250,7,257,0.8839
228,Hashihime of the Old Book Town,9/26/2019,44,280,9,289,0.8838
229,Legend of Keepers: Prologue,10/10/2019,803,2177,178,2355,0.8834
230,美少年梦工厂3：重生,5/9/2019,92,278,9,287,0.8834
231,Himno,4/26/2019,320,4968,468,5436,0.8828
232,Breeders of the Nephelym: Alpha,10/18/2019,2702,7813,780,8593,0.8825
233,DEMON'S TILT,12/13/2019,32,707,43,750,0.8824
234,Lingua Fleur: Lily,3/30/2019,19,194,4,198,0.8823
235,Escape Lala 2,7/18/2019,8,141,1,142,0.8823
236,Tamashii,3/5/2019,10,285,10,295,0.882
237,Blaster Master Zero,6/14/2019,90,748,47,795,0.8819
238,When The Past Was Around - Prologue,11/4/2019,14,604,35,639,0.8816
239,Astrologaster,5/9/2019,32,378,17,395,0.8815
240,Pretty Angel,12/13/2019,255,3182,287,3469,0.8814
241,Little Mouse's Encyclopedia,2/25/2019,21,190,4,194,0.8814
242,No Time to Relax,8/21/2019,1649,1268,95,1363,0.8813
243,The Last 47 Hours,3/1/2019,36,656,40,696,0.8809
244,Anodyne 2: Return to Dust,8/12/2019,95,586,34,620,0.8809
245,Ion Fury,8/15/2019,1471,6315,630,6945,0.8807
246,JermaSlots,4/7/2019,22,510,28,538,0.8805
247,Hello Neighbor Alpha 1,10/12/2019,149,2029,172,2201,0.8803
248,STAR WARS Jedi: Fallen Order™,11/15/2019,46550,116970,14243,131213,0.8802
249,MicroTown,8/30/2019,50,407,20,427,0.88
250,Air Marty,11/18/2019,16,314,13,327,0.8798
